Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
42	3414.8164	779.59045	4186.627	1411.5571	3896.3367	1279.1422	4764.9434	418.48785	878.1818	847.8	419999	165.67233	80.050644	296.54816	-143.68338	165.67245	80.04682	303.342	-169.58725	-0.413035	3.996908	88.59748	-15.591724	-165.9859	54.277454	10022.625698804855
43	2549.1135	1679.7258	4429.8413	15.285282	3104.5696	1793.0096	4996.7773	358.47714	635.125	667.9	429999	170.6868	82.51386	301.69714	-122.47557	170.68636	82.51007	309.66687	-135.61122	-0.33193225	4.0477605	87.26416	-15.039747	-170.99602	55.583775	10276.462260723114
44	2773.2974	1352.1356	4177.8315	150.25159	4398.0312	1057.2963	5059.743	1335.6754	715.9231	986.3	439999	174.86363	84.93852	309.2563	-199.13329	174.86403	84.93261	312.8561	-161.13252	-0.25903982	4.073699	119.01035	-15.078246	-175.17282	59.28349	10525.021075725555
45	3033.5767	1477.6548	4368.5415	186.51634	2873.3352	1740.8287	4816.208	720.59033	780.5	629.0	449999	178.79916	87.19581	314.2423	-124.83898	178.79904	87.19534	313.5024	-221.50182	-0.16146766	4.0568385	77.96832	-16.439947	-179.08798	61.104076	10772.660545110703
46	3658.5657	730.6334	4265.024	1983.817	4601.898	945.5492	5063.092	1781.2257	909.5455	1000.0	459999	182.79773	89.45038	318.06787	-142.90428	182.79745	89.44831	317.31784	-123.04518	-0.057581276	4.0915613	101.3579	-14.5683775	-183.05779	63.928394	11032.451680898666
47	2816.1072	1755.4205	4517.1895	38.674824	4696.8296	570.08954	5030.8027	3040.1707	701.2857	958.6	469999	186.38783	91.390625	323.90314	-147.10869	186.38808	91.386154	325.70636	-172.73717	0.0090669645	4.1319656	99.564766	-17.045795	-186.66402	66.6167	11288.581944942474
48	3458.8586	939.601	4538.669	1930.414	4615.476	871.0442	5039.502	2011.6034	833.1667	940.7	479999	190.6077	93.91468	329.817	-183.62181	190.60783	93.91108	335.60196	-183.03125	0.08491076	4.146086	97.15463	-16.696966	-190.87822	66.466965	11598.586559057236
49	2653.6536	1701.4216	4669.9766	18.91134	4186.3643	1488.231	5312.212	429.63867	645.6667	902.5	489999	199.03897	93.569756	508.8346	-160.11588	199.03749	93.56541	512.9305	-227.85793	1.056482	4.7697167	122.81946	-15.323294	-199.98038	87.802666	11916.812456607819
50	1290.0454	1555.1102	3947.1528	-992.5435	4640.966	423.68506	4887.5757	3387.2524	805.9231	972.5	499999	241.95288	68.5665	510.4112	-198.20406	241.94795	68.569595	523.501	-187.73775	1.9821166	3.4712877	118.41699	-15.85236	-242.9548	113.606865	12236.499653339386
51	1278.3197	1419.2976	4198.4546	-437.378	4049.6785	990.2768	5056.3545	2050.4502	703.2857	966.3	509999	241.11722	70.25846	475.43878	-152.14545	241.11794	70.25297	498.919	-324.0959	1.2469115	3.390582	115.17949	-15.601754	-241.6515	107.36025	12553.346270561218
52	2734.8901	1391.1241	4423.8306	921.4633	4361.125	1321.0023	5102.8477	809.41785	881.1818	961.1	519999	228.55807	76.73304	348.33768	-201.16206	228.55815	76.7352	350.70844	-195.81517	0.56216055	3.6324098	87.170616	-16.602673	-228.7921	86.706604	12851.892081022263
